
Duration (in seconds) (Duration__in_seconds_) <numeric>
# total N=2457  valid N=2457  mean=1773.72  sd=11921.32

Value |   N | Raw % | Valid % | Cum. %
88    |   6 |  0.24 |    0.24 |   6.76
89    |   2 |  0.08 |    0.08 |   6.84
95    |   3 |  0.12 |    0.12 |   6.96
97    |   4 |  0.16 |    0.16 |   7.12
100   |   3 |  0.12 |    0.12 |   7.24
102   |   3 |  0.12 |    0.12 |   7.37
106   |   2 |  0.08 |    0.08 |   7.45
110   |   2 |  0.08 |    0.08 |   7.53
116   |   2 |  0.08 |    0.08 |   7.61
120   |   2 |  0.08 |    0.08 |   7.69
135   |   2 |  0.08 |    0.08 |   7.77
137   |   2 |  0.08 |    0.08 |   7.86
139   |   2 |  0.08 |    0.08 |   7.94
167   |   2 |  0.08 |    0.08 |   8.02
169   |   2 |  0.08 |    0.08 |   8.10
182   |   2 |  0.08 |    0.08 |   8.18
192   |   2 |  0.08 |    0.08 |   8.26
199   |   2 |  0.08 |    0.08 |   8.34
241   |   2 |  0.08 |    0.08 |   8.42
256   |   4 |  0.16 |    0.16 |   8.59
264   |   2 |  0.08 |    0.08 |   8.67
269   |   2 |  0.08 |    0.08 |   8.75
276   |   2 |  0.08 |    0.08 |   8.83
278   |   3 |  0.12 |    0.12 |   8.95
280   |   2 |  0.08 |    0.08 |   9.04
281   |   2 |  0.08 |    0.08 |   9.12
293   |   2 |  0.08 |    0.08 |   9.20
294   |   3 |  0.12 |    0.12 |   9.32
299   |   2 |  0.08 |    0.08 |   9.40
300   |   2 |  0.08 |    0.08 |   9.48
301   |   2 |  0.08 |    0.08 |   9.56
303   |   3 |  0.12 |    0.12 |   9.69
308   |   5 |  0.20 |    0.20 |   9.89
313   |   2 |  0.08 |    0.08 |   9.97
315   |   2 |  0.08 |    0.08 |  10.05
316   |   2 |  0.08 |    0.08 |  10.13
319   |   2 |  0.08 |    0.08 |  10.22
320   |   3 |  0.12 |    0.12 |  10.34
321   |   2 |  0.08 |    0.08 |  10.42
322   |   2 |  0.08 |    0.08 |  10.50
329   |   3 |  0.12 |    0.12 |  10.62
330   |   2 |  0.08 |    0.08 |  10.70
332   |   4 |  0.16 |    0.16 |  10.87
334   |   5 |  0.20 |    0.20 |  11.07
337   |   2 |  0.08 |    0.08 |  11.15
338   |   2 |  0.08 |    0.08 |  11.23
339   |   6 |  0.24 |    0.24 |  11.48
340   |   2 |  0.08 |    0.08 |  11.56
341   |   2 |  0.08 |    0.08 |  11.64
342   |   5 |  0.20 |    0.20 |  11.84
344   |   3 |  0.12 |    0.12 |  11.97
345   |   4 |  0.16 |    0.16 |  12.13
347   |   2 |  0.08 |    0.08 |  12.21
349   |   3 |  0.12 |    0.12 |  12.33
350   |   2 |  0.08 |    0.08 |  12.41
351   |   2 |  0.08 |    0.08 |  12.49
353   |   2 |  0.08 |    0.08 |  12.58
354   |   2 |  0.08 |    0.08 |  12.66
358   |   4 |  0.16 |    0.16 |  12.82
359   |   4 |  0.16 |    0.16 |  12.98
362   |   2 |  0.08 |    0.08 |  13.06
363   |   2 |  0.08 |    0.08 |  13.15
364   |   2 |  0.08 |    0.08 |  13.23
365   |   3 |  0.12 |    0.12 |  13.35
366   |   4 |  0.16 |    0.16 |  13.51
367   |   2 |  0.08 |    0.08 |  13.59
368   |   2 |  0.08 |    0.08 |  13.68
369   |   4 |  0.16 |    0.16 |  13.84
373   |   2 |  0.08 |    0.08 |  13.92
374   |   2 |  0.08 |    0.08 |  14.00
375   |   2 |  0.08 |    0.08 |  14.08
376   |   3 |  0.12 |    0.12 |  14.20
377   |   2 |  0.08 |    0.08 |  14.29
379   |   2 |  0.08 |    0.08 |  14.37
380   |   2 |  0.08 |    0.08 |  14.45
383   |   4 |  0.16 |    0.16 |  14.61
384   |   3 |  0.12 |    0.12 |  14.73
385   |   4 |  0.16 |    0.16 |  14.90
386   |   4 |  0.16 |    0.16 |  15.06
387   |   5 |  0.20 |    0.20 |  15.26
388   |   2 |  0.08 |    0.08 |  15.34
390   |   9 |  0.37 |    0.37 |  15.71
391   |   4 |  0.16 |    0.16 |  15.87
392   |   3 |  0.12 |    0.12 |  16.00
395   |   2 |  0.08 |    0.08 |  16.08
396   |   7 |  0.28 |    0.28 |  16.36
397   |   4 |  0.16 |    0.16 |  16.52
398   |   4 |  0.16 |    0.16 |  16.69
399   |   2 |  0.08 |    0.08 |  16.77
400   |   3 |  0.12 |    0.12 |  16.89
401   |   3 |  0.12 |    0.12 |  17.01
402   |   7 |  0.28 |    0.28 |  17.30
403   |   3 |  0.12 |    0.12 |  17.42
404   |   3 |  0.12 |    0.12 |  17.54
405   |   2 |  0.08 |    0.08 |  17.62
406   |   4 |  0.16 |    0.16 |  17.79
407   |   4 |  0.16 |    0.16 |  17.95
408   |   8 |  0.33 |    0.33 |  18.27
409   |   4 |  0.16 |    0.16 |  18.44
410   |   6 |  0.24 |    0.24 |  18.68
411   |   3 |  0.12 |    0.12 |  18.80
413   |   6 |  0.24 |    0.24 |  19.05
414   |   3 |  0.12 |    0.12 |  19.17
415   |   5 |  0.20 |    0.20 |  19.37
417   |   2 |  0.08 |    0.08 |  19.45
418   |   2 |  0.08 |    0.08 |  19.54
419   |   5 |  0.20 |    0.20 |  19.74
420   |   2 |  0.08 |    0.08 |  19.82
421   |   4 |  0.16 |    0.16 |  19.98
423   |   4 |  0.16 |    0.16 |  20.15
425   |   7 |  0.28 |    0.28 |  20.43
426   |   3 |  0.12 |    0.12 |  20.55
428   |   2 |  0.08 |    0.08 |  20.63
430   |   4 |  0.16 |    0.16 |  20.80
431   |   4 |  0.16 |    0.16 |  20.96
433   |   5 |  0.20 |    0.20 |  21.16
434   |   2 |  0.08 |    0.08 |  21.25
437   |   3 |  0.12 |    0.12 |  21.37
438   |   4 |  0.16 |    0.16 |  21.53
439   |   2 |  0.08 |    0.08 |  21.61
440   |   3 |  0.12 |    0.12 |  21.73
441   |   3 |  0.12 |    0.12 |  21.86
442   |   4 |  0.16 |    0.16 |  22.02
443   |   5 |  0.20 |    0.20 |  22.22
444   |   3 |  0.12 |    0.12 |  22.34
445   |   5 |  0.20 |    0.20 |  22.55
446   |   4 |  0.16 |    0.16 |  22.71
447   |   5 |  0.20 |    0.20 |  22.91
449   |   4 |  0.16 |    0.16 |  23.08
450   |   2 |  0.08 |    0.08 |  23.16
451   |   2 |  0.08 |    0.08 |  23.24
452   |   4 |  0.16 |    0.16 |  23.40
453   |   3 |  0.12 |    0.12 |  23.52
454   |   2 |  0.08 |    0.08 |  23.61
455   |   2 |  0.08 |    0.08 |  23.69
457   |   3 |  0.12 |    0.12 |  23.81
458   |   9 |  0.37 |    0.37 |  24.18
459   |   6 |  0.24 |    0.24 |  24.42
461   |   4 |  0.16 |    0.16 |  24.58
462   |   2 |  0.08 |    0.08 |  24.66
463   |   3 |  0.12 |    0.12 |  24.79
465   |   7 |  0.28 |    0.28 |  25.07
466   |   3 |  0.12 |    0.12 |  25.19
467   |   2 |  0.08 |    0.08 |  25.27
468   |   3 |  0.12 |    0.12 |  25.40
469   |   6 |  0.24 |    0.24 |  25.64
471   |   7 |  0.28 |    0.28 |  25.93
472   |   5 |  0.20 |    0.20 |  26.13
473   |   4 |  0.16 |    0.16 |  26.29
474   |   4 |  0.16 |    0.16 |  26.46
476   |   3 |  0.12 |    0.12 |  26.58
477   |   2 |  0.08 |    0.08 |  26.66
478   |   2 |  0.08 |    0.08 |  26.74
480   |   6 |  0.24 |    0.24 |  26.98
481   |   8 |  0.33 |    0.33 |  27.31
482   |   3 |  0.12 |    0.12 |  27.43
483   |   5 |  0.20 |    0.20 |  27.64
484   |   2 |  0.08 |    0.08 |  27.72
485   |   4 |  0.16 |    0.16 |  27.88
486   |   6 |  0.24 |    0.24 |  28.12
487   |   8 |  0.33 |    0.33 |  28.45
488   |   6 |  0.24 |    0.24 |  28.69
489   |   5 |  0.20 |    0.20 |  28.90
490   |   3 |  0.12 |    0.12 |  29.02
491   |   4 |  0.16 |    0.16 |  29.18
492   |   4 |  0.16 |    0.16 |  29.34
493   |   4 |  0.16 |    0.16 |  29.51
494   |   3 |  0.12 |    0.12 |  29.63
495   |   8 |  0.33 |    0.33 |  29.96
496   |   6 |  0.24 |    0.24 |  30.20
497   |   9 |  0.37 |    0.37 |  30.57
498   |   5 |  0.20 |    0.20 |  30.77
499   |   3 |  0.12 |    0.12 |  30.89
501   |   6 |  0.24 |    0.24 |  31.14
502   |   7 |  0.28 |    0.28 |  31.42
503   |   2 |  0.08 |    0.08 |  31.50
504   |   5 |  0.20 |    0.20 |  31.71
505   |   3 |  0.12 |    0.12 |  31.83
506   |   4 |  0.16 |    0.16 |  31.99
507   |   4 |  0.16 |    0.16 |  32.15
508   |   3 |  0.12 |    0.12 |  32.28
509   |   2 |  0.08 |    0.08 |  32.36
510   |   3 |  0.12 |    0.12 |  32.48
511   |   3 |  0.12 |    0.12 |  32.60
512   |   3 |  0.12 |    0.12 |  32.72
513   |   3 |  0.12 |    0.12 |  32.84
514   |   4 |  0.16 |    0.16 |  33.01
515   |   6 |  0.24 |    0.24 |  33.25
517   |   4 |  0.16 |    0.16 |  33.41
518   |   4 |  0.16 |    0.16 |  33.58
519   |   5 |  0.20 |    0.20 |  33.78
520   |   2 |  0.08 |    0.08 |  33.86
521   |   4 |  0.16 |    0.16 |  34.03
522   |   6 |  0.24 |    0.24 |  34.27
523   |   4 |  0.16 |    0.16 |  34.43
524   |   4 |  0.16 |    0.16 |  34.60
525   |   3 |  0.12 |    0.12 |  34.72
526   |   4 |  0.16 |    0.16 |  34.88
527   |   2 |  0.08 |    0.08 |  34.96
528   |   4 |  0.16 |    0.16 |  35.12
529   |   2 |  0.08 |    0.08 |  35.21
530   |   4 |  0.16 |    0.16 |  35.37
532   |   3 |  0.12 |    0.12 |  35.49
533   |   5 |  0.20 |    0.20 |  35.69
534   |   3 |  0.12 |    0.12 |  35.82
535   |   4 |  0.16 |    0.16 |  35.98
536   |   5 |  0.20 |    0.20 |  36.18
537   |   8 |  0.33 |    0.33 |  36.51
538   |   2 |  0.08 |    0.08 |  36.59
539   |   6 |  0.24 |    0.24 |  36.83
540   |   3 |  0.12 |    0.12 |  36.96
542   |   5 |  0.20 |    0.20 |  37.16
543   |   3 |  0.12 |    0.12 |  37.28
544   |   3 |  0.12 |    0.12 |  37.40
545   |   7 |  0.28 |    0.28 |  37.69
546   |   6 |  0.24 |    0.24 |  37.93
547   |   5 |  0.20 |    0.20 |  38.14
548   |   2 |  0.08 |    0.08 |  38.22
549   |   8 |  0.33 |    0.33 |  38.54
550   |   4 |  0.16 |    0.16 |  38.71
551   |   7 |  0.28 |    0.28 |  38.99
552   |   4 |  0.16 |    0.16 |  39.15
553   |   5 |  0.20 |    0.20 |  39.36
554   |   3 |  0.12 |    0.12 |  39.48
555   |   6 |  0.24 |    0.24 |  39.72
557   |   6 |  0.24 |    0.24 |  39.97
558   |   3 |  0.12 |    0.12 |  40.09
559   |   4 |  0.16 |    0.16 |  40.25
560   |   6 |  0.24 |    0.24 |  40.50
561   |   7 |  0.28 |    0.28 |  40.78
563   |   9 |  0.37 |    0.37 |  41.15
564   |   5 |  0.20 |    0.20 |  41.35
565   |   3 |  0.12 |    0.12 |  41.47
566   |   3 |  0.12 |    0.12 |  41.60
567   |   4 |  0.16 |    0.16 |  41.76
568   |   8 |  0.33 |    0.33 |  42.08
569   |   3 |  0.12 |    0.12 |  42.21
570   |   5 |  0.20 |    0.20 |  42.41
571   |   3 |  0.12 |    0.12 |  42.53
572   |   5 |  0.20 |    0.20 |  42.74
573   |   6 |  0.24 |    0.24 |  42.98
574   |   5 |  0.20 |    0.20 |  43.18
575   |   4 |  0.16 |    0.16 |  43.35
576   |   3 |  0.12 |    0.12 |  43.47
577   |   2 |  0.08 |    0.08 |  43.55
578   |   5 |  0.20 |    0.20 |  43.75
579   |   3 |  0.12 |    0.12 |  43.87
580   |   7 |  0.28 |    0.28 |  44.16
581   |   4 |  0.16 |    0.16 |  44.32
582   |   9 |  0.37 |    0.37 |  44.69
584   |   4 |  0.16 |    0.16 |  44.85
586   |   5 |  0.20 |    0.20 |  45.05
587   |   2 |  0.08 |    0.08 |  45.14
588   |   7 |  0.28 |    0.28 |  45.42
589   |   6 |  0.24 |    0.24 |  45.67
590   |   4 |  0.16 |    0.16 |  45.83
591   |   2 |  0.08 |    0.08 |  45.91
592   |   3 |  0.12 |    0.12 |  46.03
594   |   3 |  0.12 |    0.12 |  46.15
595   |   4 |  0.16 |    0.16 |  46.32
596   |   4 |  0.16 |    0.16 |  46.48
598   |   2 |  0.08 |    0.08 |  46.56
599   |   5 |  0.20 |    0.20 |  46.76
600   |   3 |  0.12 |    0.12 |  46.89
601   |   6 |  0.24 |    0.24 |  47.13
602   |   2 |  0.08 |    0.08 |  47.21
603   |   2 |  0.08 |    0.08 |  47.29
604   |   5 |  0.20 |    0.20 |  47.50
606   |   3 |  0.12 |    0.12 |  47.62
607   |   3 |  0.12 |    0.12 |  47.74
608   |   6 |  0.24 |    0.24 |  47.99
609   |   4 |  0.16 |    0.16 |  48.15
610   |   2 |  0.08 |    0.08 |  48.23
611   |   2 |  0.08 |    0.08 |  48.31
614   |   3 |  0.12 |    0.12 |  48.43
616   |   5 |  0.20 |    0.20 |  48.64
617   |   2 |  0.08 |    0.08 |  48.72
618   |   4 |  0.16 |    0.16 |  48.88
620   |   5 |  0.20 |    0.20 |  49.08
621   |   3 |  0.12 |    0.12 |  49.21
622   |   6 |  0.24 |    0.24 |  49.45
623   |   3 |  0.12 |    0.12 |  49.57
625   |   5 |  0.20 |    0.20 |  49.78
626   |   7 |  0.28 |    0.28 |  50.06
627   |   4 |  0.16 |    0.16 |  50.22
628   |   3 |  0.12 |    0.12 |  50.35
629   |   3 |  0.12 |    0.12 |  50.47
630   |   3 |  0.12 |    0.12 |  50.59
632   |   4 |  0.16 |    0.16 |  50.75
633   |   2 |  0.08 |    0.08 |  50.83
634   |   5 |  0.20 |    0.20 |  51.04
636   |   6 |  0.24 |    0.24 |  51.28
637   |   3 |  0.12 |    0.12 |  51.40
639   |   3 |  0.12 |    0.12 |  51.53
641   |   6 |  0.24 |    0.24 |  51.77
644   |   4 |  0.16 |    0.16 |  51.93
646   |   3 |  0.12 |    0.12 |  52.06
647   |   5 |  0.20 |    0.20 |  52.26
648   |   2 |  0.08 |    0.08 |  52.34
649   |   6 |  0.24 |    0.24 |  52.58
650   |   4 |  0.16 |    0.16 |  52.75
651   |   5 |  0.20 |    0.20 |  52.95
652   |   2 |  0.08 |    0.08 |  53.03
656   |   5 |  0.20 |    0.20 |  53.24
657   |   2 |  0.08 |    0.08 |  53.32
658   |   5 |  0.20 |    0.20 |  53.52
660   |   4 |  0.16 |    0.16 |  53.68
662   |   5 |  0.20 |    0.20 |  53.89
663   |   3 |  0.12 |    0.12 |  54.01
664   |   3 |  0.12 |    0.12 |  54.13
665   |   5 |  0.20 |    0.20 |  54.33
666   |   3 |  0.12 |    0.12 |  54.46
667   |   4 |  0.16 |    0.16 |  54.62
668   |   2 |  0.08 |    0.08 |  54.70
669   |   5 |  0.20 |    0.20 |  54.90
670   |   2 |  0.08 |    0.08 |  54.99
671   |   2 |  0.08 |    0.08 |  55.07
673   |   4 |  0.16 |    0.16 |  55.23
674   |   3 |  0.12 |    0.12 |  55.35
675   |   3 |  0.12 |    0.12 |  55.47
677   |   2 |  0.08 |    0.08 |  55.56
681   |   2 |  0.08 |    0.08 |  55.64
683   |   6 |  0.24 |    0.24 |  55.88
684   |   3 |  0.12 |    0.12 |  56.00
685   |   6 |  0.24 |    0.24 |  56.25
688   |   6 |  0.24 |    0.24 |  56.49
689   |   2 |  0.08 |    0.08 |  56.57
690   |   3 |  0.12 |    0.12 |  56.70
691   |   6 |  0.24 |    0.24 |  56.94
692   |   2 |  0.08 |    0.08 |  57.02
693   |   2 |  0.08 |    0.08 |  57.10
695   |   2 |  0.08 |    0.08 |  57.18
696   |   5 |  0.20 |    0.20 |  57.39
697   |   3 |  0.12 |    0.12 |  57.51
699   |   4 |  0.16 |    0.16 |  57.67
700   |   4 |  0.16 |    0.16 |  57.83
701   |   2 |  0.08 |    0.08 |  57.92
703   |   5 |  0.20 |    0.20 |  58.12
704   |   2 |  0.08 |    0.08 |  58.20
705   |   2 |  0.08 |    0.08 |  58.28
706   |   4 |  0.16 |    0.16 |  58.45
707   |   3 |  0.12 |    0.12 |  58.57
708   |   5 |  0.20 |    0.20 |  58.77
709   |   4 |  0.16 |    0.16 |  58.93
710   |   3 |  0.12 |    0.12 |  59.06
711   |   3 |  0.12 |    0.12 |  59.18
713   |   2 |  0.08 |    0.08 |  59.26
714   |   4 |  0.16 |    0.16 |  59.42
715   |   2 |  0.08 |    0.08 |  59.50
718   |   4 |  0.16 |    0.16 |  59.67
721   |   2 |  0.08 |    0.08 |  59.75
722   |   4 |  0.16 |    0.16 |  59.91
723   |   3 |  0.12 |    0.12 |  60.03
724   |   2 |  0.08 |    0.08 |  60.11
725   |   5 |  0.20 |    0.20 |  60.32
726   |   2 |  0.08 |    0.08 |  60.40
729   |   4 |  0.16 |    0.16 |  60.56
731   |   3 |  0.12 |    0.12 |  60.68
732   |   3 |  0.12 |    0.12 |  60.81
733   |   3 |  0.12 |    0.12 |  60.93
734   |   3 |  0.12 |    0.12 |  61.05
736   |   3 |  0.12 |    0.12 |  61.17
738   |   3 |  0.12 |    0.12 |  61.29
740   |   2 |  0.08 |    0.08 |  61.38
741   |   3 |  0.12 |    0.12 |  61.50
742   |   3 |  0.12 |    0.12 |  61.62
744   |   7 |  0.28 |    0.28 |  61.90
745   |   4 |  0.16 |    0.16 |  62.07
748   |   2 |  0.08 |    0.08 |  62.15
752   |   2 |  0.08 |    0.08 |  62.23
754   |   2 |  0.08 |    0.08 |  62.31
755   |   2 |  0.08 |    0.08 |  62.39
756   |   4 |  0.16 |    0.16 |  62.56
759   |   2 |  0.08 |    0.08 |  62.64
761   |   2 |  0.08 |    0.08 |  62.72
762   |   3 |  0.12 |    0.12 |  62.84
763   |   2 |  0.08 |    0.08 |  62.92
765   |   2 |  0.08 |    0.08 |  63.00
766   |   2 |  0.08 |    0.08 |  63.09
767   |   2 |  0.08 |    0.08 |  63.17
771   |   3 |  0.12 |    0.12 |  63.29
772   |   2 |  0.08 |    0.08 |  63.37
775   |   3 |  0.12 |    0.12 |  63.49
776   |   2 |  0.08 |    0.08 |  63.57
777   |   2 |  0.08 |    0.08 |  63.65
778   |   4 |  0.16 |    0.16 |  63.82
780   |   2 |  0.08 |    0.08 |  63.90
781   |   3 |  0.12 |    0.12 |  64.02
783   |   2 |  0.08 |    0.08 |  64.10
784   |   2 |  0.08 |    0.08 |  64.18
787   |   2 |  0.08 |    0.08 |  64.27
788   |   3 |  0.12 |    0.12 |  64.39
789   |   2 |  0.08 |    0.08 |  64.47
790   |   2 |  0.08 |    0.08 |  64.55
791   |   2 |  0.08 |    0.08 |  64.63
792   |   2 |  0.08 |    0.08 |  64.71
793   |   4 |  0.16 |    0.16 |  64.88
794   |   2 |  0.08 |    0.08 |  64.96
795   |   4 |  0.16 |    0.16 |  65.12
797   |   4 |  0.16 |    0.16 |  65.28
802   |   3 |  0.12 |    0.12 |  65.40
804   |   2 |  0.08 |    0.08 |  65.49
806   |   2 |  0.08 |    0.08 |  65.57
808   |   2 |  0.08 |    0.08 |  65.65
812   |   4 |  0.16 |    0.16 |  65.81
813   |   2 |  0.08 |    0.08 |  65.89
814   |   4 |  0.16 |    0.16 |  66.06
815   |   3 |  0.12 |    0.12 |  66.18
820   |   2 |  0.08 |    0.08 |  66.26
821   |   3 |  0.12 |    0.12 |  66.38
826   |   2 |  0.08 |    0.08 |  66.46
827   |   2 |  0.08 |    0.08 |  66.54
828   |   3 |  0.12 |    0.12 |  66.67
830   |   2 |  0.08 |    0.08 |  66.75
835   |   4 |  0.16 |    0.16 |  66.91
836   |   5 |  0.20 |    0.20 |  67.11
839   |   3 |  0.12 |    0.12 |  67.24
841   |   2 |  0.08 |    0.08 |  67.32
842   |   4 |  0.16 |    0.16 |  67.48
843   |   3 |  0.12 |    0.12 |  67.60
844   |   2 |  0.08 |    0.08 |  67.68
845   |   2 |  0.08 |    0.08 |  67.77
852   |   3 |  0.12 |    0.12 |  67.89
858   |   2 |  0.08 |    0.08 |  67.97
859   |   3 |  0.12 |    0.12 |  68.09
861   |   2 |  0.08 |    0.08 |  68.17
862   |   2 |  0.08 |    0.08 |  68.25
863   |   3 |  0.12 |    0.12 |  68.38
865   |   3 |  0.12 |    0.12 |  68.50
866   |   4 |  0.16 |    0.16 |  68.66
872   |   2 |  0.08 |    0.08 |  68.74
875   |   3 |  0.12 |    0.12 |  68.86
878   |   2 |  0.08 |    0.08 |  68.95
879   |   2 |  0.08 |    0.08 |  69.03
882   |   2 |  0.08 |    0.08 |  69.11
884   |   2 |  0.08 |    0.08 |  69.19
885   |   2 |  0.08 |    0.08 |  69.27
890   |   2 |  0.08 |    0.08 |  69.35
891   |   2 |  0.08 |    0.08 |  69.43
895   |   2 |  0.08 |    0.08 |  69.52
896   |   2 |  0.08 |    0.08 |  69.60
901   |   2 |  0.08 |    0.08 |  69.68
902   |   2 |  0.08 |    0.08 |  69.76
903   |   2 |  0.08 |    0.08 |  69.84
905   |   3 |  0.12 |    0.12 |  69.96
907   |   2 |  0.08 |    0.08 |  70.04
908   |   2 |  0.08 |    0.08 |  70.13
914   |   3 |  0.12 |    0.12 |  70.25
917   |   2 |  0.08 |    0.08 |  70.33
918   |   3 |  0.12 |    0.12 |  70.45
921   |   3 |  0.12 |    0.12 |  70.57
926   |   2 |  0.08 |    0.08 |  70.66
930   |   2 |  0.08 |    0.08 |  70.74
931   |   3 |  0.12 |    0.12 |  70.86
933   |   3 |  0.12 |    0.12 |  70.98
946   |   2 |  0.08 |    0.08 |  71.06
947   |   3 |  0.12 |    0.12 |  71.18
949   |   2 |  0.08 |    0.08 |  71.27
952   |   4 |  0.16 |    0.16 |  71.43
959   |   3 |  0.12 |    0.12 |  71.55
966   |   2 |  0.08 |    0.08 |  71.63
968   |   2 |  0.08 |    0.08 |  71.71
969   |   2 |  0.08 |    0.08 |  71.79
971   |   2 |  0.08 |    0.08 |  71.88
974   |   2 |  0.08 |    0.08 |  71.96
978   |   2 |  0.08 |    0.08 |  72.04
983   |   2 |  0.08 |    0.08 |  72.12
999   |   3 |  0.12 |    0.12 |  72.24
1000  |   2 |  0.08 |    0.08 |  72.32
1009  |   2 |  0.08 |    0.08 |  72.41
1012  |   3 |  0.12 |    0.12 |  72.53
1013  |   2 |  0.08 |    0.08 |  72.61
1021  |   3 |  0.12 |    0.12 |  72.73
1022  |   3 |  0.12 |    0.12 |  72.85
1023  |   2 |  0.08 |    0.08 |  72.93
1024  |   2 |  0.08 |    0.08 |  73.02
1027  |   3 |  0.12 |    0.12 |  73.14
1034  |   2 |  0.08 |    0.08 |  73.22
1040  |   2 |  0.08 |    0.08 |  73.30
1044  |   2 |  0.08 |    0.08 |  73.38
1057  |   2 |  0.08 |    0.08 |  73.46
1059  |   2 |  0.08 |    0.08 |  73.54
1061  |   2 |  0.08 |    0.08 |  73.63
1062  |   2 |  0.08 |    0.08 |  73.71
1067  |   2 |  0.08 |    0.08 |  73.79
1072  |   2 |  0.08 |    0.08 |  73.87
1081  |   3 |  0.12 |    0.12 |  73.99
1083  |   2 |  0.08 |    0.08 |  74.07
1084  |   3 |  0.12 |    0.12 |  74.20
1089  |   2 |  0.08 |    0.08 |  74.28
1093  |   2 |  0.08 |    0.08 |  74.36
1095  |   2 |  0.08 |    0.08 |  74.44
1099  |   2 |  0.08 |    0.08 |  74.52
1100  |   2 |  0.08 |    0.08 |  74.60
1106  |   2 |  0.08 |    0.08 |  74.68
1114  |   3 |  0.12 |    0.12 |  74.81
1119  |   2 |  0.08 |    0.08 |  74.89
1128  |   2 |  0.08 |    0.08 |  74.97
1135  |   2 |  0.08 |    0.08 |  75.05
1138  |   2 |  0.08 |    0.08 |  75.13
1142  |   3 |  0.12 |    0.12 |  75.25
1146  |   2 |  0.08 |    0.08 |  75.34
1178  |   3 |  0.12 |    0.12 |  75.46
1249  |   2 |  0.08 |    0.08 |  75.54
1265  |   2 |  0.08 |    0.08 |  75.62
1271  |   2 |  0.08 |    0.08 |  75.70
1287  |   2 |  0.08 |    0.08 |  75.78
1294  |   2 |  0.08 |    0.08 |  75.86
1332  |   3 |  0.12 |    0.12 |  75.99
1360  |   2 |  0.08 |    0.08 |  76.07
1410  |   2 |  0.08 |    0.08 |  76.15
1485  |   2 |  0.08 |    0.08 |  76.23
1576  |   3 |  0.12 |    0.12 |  76.35
n < 2 | 581 | 23.65 |   23.65 | 100.00
<NA>  |   0 |  0.00 |    <NA> |   <NA>


¿Cua´l es su mayor nivel educacional alcanzado? (educat) <numeric>
# total N=2457  valid N=2216  mean=2.72  sd=0.83

Value |                                                                               Label |   N | Raw % | Valid % | Cum. %
----------------------------------------------------------------------------------------------------------------------------
    1 |                 Básica o menos (Sin estudios - básica incompleta - básica completa) |  65 |  2.65 |    2.93 |   2.93
    2 |                                           Media (Media incompleta - media completa) | 958 | 38.99 |   43.23 |  46.16
